"uniprotkb_canonical_ac","gene_id","gene_name","gene_names_alternative","uniprotkb_protein_recommended_name","glycoenzyme_gene_id","gene_group"
"Q8NAT1-1","84892","POMGNT2","AGO61;C3orf39;EOGTL;GTDC2","Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2","HGT61_M02","Glycosyltransferase"
"Q9UBQ6-1","2135","EXTL2","EXTR2","Exostosin-like 2","HGT64_M01","Glycosyltransferase"
"Q16394-1","2131","EXT1","","Exostosin-1","HGT64_M02","Glycosyltransferase"
"Q93063-1","2132","EXT2","","Exostosin-2","HGT64_M03","Glycosyltransferase"
"Q92935-1","2134","EXTL1","EXTL","Exostosin-like 1","HGT64_M04","Glycosyltransferase"
"O43909-1","2137","EXTL3","EXTL1L;EXTR1;KIAA0519","Exostosin-like 3","HGT64_M05","Glycosyltransferase"
"Q9H488-1","23509","POFUT1","FUT12;KIAA0180","GDP-fucose protein O-fucosyltransferase 1","HGT65_M01","Glycosyltransferase"
"Q8TCJ2-1","201595","STT3B","SIMP","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B","HGT66_M01","Glycosyltransferase"
"P46977-1","3703","STT3A","TMC;ITM1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A","HGT66_M02","Glycosyltransferase"
"Q9Y2G5-3","23275","POFUT2","C21orf80;FUT13;KIAA0958","GDP-fucose protein O-fucosyltransferase 2","HGT68_M01","Glycosyltransferase"
"Q9NUD9-1","55650","PIGV","","GPI mannosyltransferase 2","HGT76_M01","Glycosyltransferase"
"Q8NBL1-1","56983","POGLUT1","C3orf9;CLP46;KTELC1;MDSRP","Protein O-glucosyltransferase 1","HGT90_M01","Glycosyltransferase"
"Q6UW63-1","79070","POGLUT2","EP58;KDELC1","Protein O-glucosyltransferase 2","HGT90_M02","Glycosyltransferase"
"Q7Z4H8-1","143888","POGLUT3","KDELC2","Protein O-glucosyltransferase 3","HGT90_M03","Glycosyltransferase"
"Q86Z14-1","152831","KLB","","Beta-klotho","HGH01_M01","Glycosylhydrolase"
"Q9UEF7-1","9365","KL","","Klotho","HGH01_M02","Glycosylhydrolase"
"P09848-1","3938","LCT","LPH","Lactase/phlorizin hydrolase","HGH01_M03","Glycosylhydrolase"
"Q6UWM7-1","197021","LCTL","KLPH","Lactase-like protein","HGH01_M04","Glycosylhydrolase"
"Q9H227-1","57733","GBA3","CBG;CBGL1","Cytosolic beta-glucosidase","HGH01_M05","Glycosylhydrolase"
"P08236-1","2990","GUSB","","Beta-glucuronidase","HGH02_M01","Glycosylhydrolase"
"O00462-1","4126","MANBA","MANB1","Beta-mannosidase","HGH02_M02","Glycosylhydrolase"
"P0DTE8-1","276","AMY1C","AMY1","Alpha-amylase 1C","HGH13_M01","Glycosylhydrolase"
"P0DTE8-1","277","AMY1C","AMY1","Alpha-amylase 1C","HGH13_M01","Glycosylhydrolase"
"P0DTE8-1","278","AMY1C","AMY1","Alpha-amylase 1C","HGH13_M01","Glycosylhydrolase"
"P04746-1","279","AMY2A","","Pancreatic alpha-amylase","HGH13_M01","Glycosylhydrolase"
"P19961-1","280","AMY2B","","Alpha-amylase 2B","HGH13_M01","Glycosylhydrolase"
"P08195-1","6520","SLC3A2","MDU1","Amino acid transporter heavy chain SLC3A2","HGH13_M03","Glycosylhydrolase"
"Q07837-1","6519","SLC3A1","NBAT","Amino acid transporter heavy chain SLC3A1","HGH13_M04","Glycosylhydrolase"
"Q04446-1","2632","GBE1","","1,4-alpha-glucan-branching enzyme","HGH13_M05","Glycosylhydrolase"
"P35573-1","178","AGL","GDE","Glycogen debranching enzyme","HGH13_M06","Glycosylhydrolase"
"Q9BZP6-1","27159","CHIA","","Acidic mammalian chitinase","HGH18_M01","Glycosylhydrolase"
"P36222-1","1116","CHI3L1","","Chitinase-3-like protein 1","HGH18_M04","Glycosylhydrolase"
"Q13231-1","1118","CHIT1","","Chitotriosidase-1","HGH18_M05","Glycosylhydrolase"
"Q01459-1","1486","CTBS","CTB","Di-N-acetylchitobiase","HGH18_M07","Glycosylhydrolase"
"Q12889-1","5016","OVGP1","MUC9;OGP","Oviduct-specific glycoprotein","HGH18_M10","Glycosylhydrolase"
"Q15782-4","1117","CHI3L2","","Chitinase-3-like protein 2","HGH18_M11","Glycosylhydrolase"
"P06865-1","3073","HEXA","","Beta-hexosaminidase subunit alpha","HGH20_M01","Glycosylhydrolase"
"P07686-1","3074","HEXB","HEL-248;HEL-S-111","Beta-hexosaminidase subunit beta","HGH20_M02","Glycosylhydrolase"
"Q8WVB3-1","284004","HEXD","HEXDC","Hexosaminidase D","HGH20_M03","Glycosylhydrolase"
"O75951-1","57151","LYZL6","LYC1","Lysozyme-like protein 6","HGH22_M02","Glycosylhydrolase"
"P35612-1","119","ADD2","ADDB","Beta-adducin","HGH22_M03","Glycosylhydrolase"
"Q8IXA5-1","124912","SPACA3","LYC3;LYZL3;SLLP1;SPRASA","Sperm acrosome membrane-associated protein 3","HGH22_M04","Glycosylhydrolase"
"Q96KX0-1","131375","LYZL4","LYC4","Lysozyme-like protein 4","HGH22_M05","Glycosylhydrolase"
"P61626-1","4069","LYZ","LZM","Lysozyme C","HGH22_M08","Glycosylhydrolase"
"Q96QH8-1","389852","SPACA5","LYZL5;SPACA5A;SPACA5B","Sperm acrosome-associated protein 5","HGH22_M09","Glycosylhydrolase"
"Q8N1E2-1","129530","LYG1","","Lysozyme g-like protein 1","HGH23_M01","Glycosylhydrolase"
"Q86SG7-1","254773","LYG2","LYGH","Lysozyme g-like protein 2","HGH23_M02","Glycosylhydrolase"
"P06280-1","2717","GLA","","Alpha-galactosidase A","HGH27_M01","Glycosylhydrolase"
"P17050-1","4668","NAGA","","Alpha-N-acetylgalactosaminidase","HGH27_M02","Glycosylhydrolase"
"Q9BTY2-1","2519","FUCA2","","Plasma alpha-L-fucosidase","HGH29_M01","Glycosylhydrolase"
"P04066-1","2517","FUCA1","","Tissue alpha-L-fucosidase","HGH29_M02","Glycosylhydrolase"
"P04062-1","2629","GBA1","GC;GBA;GLUC","Lysosomal acid glucosylceramidase","HGH30_M01","Glycosylhydrolase"
"P10253-1","2548","GAA","","Lysosomal alpha-glucosidase","HGH31_M01","Glycosylhydrolase"
"Q14697-1","23193","GANAB","G2AN;KIAA0088","Neutral alpha-glucosidase AB","HGH31_M02","Glycosylhydrolase"
"Q6NSJ0-1","57462","MYORG","KIAA1161","Myogenesis-regulating glycosidase","HGH31_M04","Glycosylhydrolase"
"Q8TET4-1","2595","GANC","","Neutral alpha-glucosidase C","HGH31_M05","Glycosylhydrolase"
"O43451-2","8972","MGAM","MGA;MGAML","Maltase-glucoamylase","HGH31_M07","Glycosylhydrolase"
"P14410-1","6476","SI","","Sucrase-isomaltase, intestinal","HGH31_M08","Glycosylhydrolase"
"Q9Y3R4-1","4759","NEU2","","Sialidase-2","HGH33_M01","Glycosylhydrolase"
"Q8WWR8-1","129807","NEU4","","Sialidase-4","HGH33_M02","Glycosylhydrolase"
"Q9UQ49-1","10825","NEU3","","Sialidase-3","HGH33_M03","Glycosylhydrolase"
"Q99519-1","4758","NEU1","NANH","Sialidase-1","HGH33_M04","Glycosylhydrolase"
"Q6UWU2-1","79411","GLB1L","","Beta-galactosidase-1-like protein","HGH35_M01","Glycosylhydrolase"
"Q8IW92-1","89944","GLB1L2","","Beta-galactosidase-1-like protein 2","HGH35_M02","Glycosylhydrolase"
"P16278-1","2720","GLB1","ELNR1","Beta-galactosidase","HGH35_M03","Glycosylhydrolase"
"Q8NCI6-1","112937","GLB1L3","","Beta-galactosidase-1-like protein 3","HGH35_M04","Glycosylhydrolase"
"O43280-1","11181","TREH","TREA","Trehalase","HGH37_M01","Glycosylhydrolase"
"Q9Y2E5-1","23324","MAN2B2","KIAA0935","Epididymis-specific alpha-mannosidase","HGH38_M01","Glycosylhydrolase"
"O00754-1","4125","MAN2B1","LAMAN;MANB","Lysosomal alpha-mannosidase","HGH38_M02","Glycosylhydrolase"
"Q16706-1","4124","MAN2A1","MANA2","Alpha-mannosidase 2","HGH38_M03","Glycosylhydrolase"
"P49641-3","4122","MAN2A2","MANA2X","Alpha-mannosidase 2x","HGH38_M04","Glycosylhydrolase"
"Q9NTJ4-1","4123","MAN2C1","MANA;MANA1","Alpha-mannosidase 2C1","HGH38_M05","Glycosylhydrolase"
"P35475-1","3425","IDUA","","Alpha-L-iduronidase","HGH39_M01","Glycosylhydrolase"
"P33908-1","4121","MAN1A1","","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA","HGH47_M01","Glycosylhydrolase"
"O60476-1","10905","MAN1A2","MAN1B","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","HGH47_M02","Glycosylhydrolase"
"Q92611-1","9695","EDEM1","EDEM;KIAA0212","ER degradation-enhancing alpha-mannosidase-like protein 1","HGH47_M03","Glycosylhydrolase"
"Q9BV94-1","55741","EDEM2","C20orf31;C20orf49","ER degradation-enhancing alpha-mannosidase-like protein 2","HGH47_M04","Glycosylhydrolase"
"Q9NR34-1","57134","MAN1C1","MAN1A3;MAN1C","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC","HGH47_M05","Glycosylhydrolase"
"Q9BZQ6-1","80267","EDEM3","C1orf22","ER degradation-enhancing alpha-mannosidase-like protein 3","HGH47_M06","Glycosylhydrolase"
"Q9UKM7-1","11253","MAN1B1","","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase","HGH47_M07","Glycosylhydrolase"
"P38567-1","6677","SPAM1","HYAL3;PH20","Hyaluronidase PH-20","HGH56_M03","Glycosylhydrolase"
"Q12891-1","8692","HYAL2","LUCA2","Hyaluronidase-2","HGH56_M04","Glycosylhydrolase"
"O43820-1","8372","HYAL3","LUCA3","Hyaluronidase-3","HGH56_M05","Glycosylhydrolase"
"Q12794-1","3373","HYAL1","LUCA1","Hyaluronidase-1","HGH56_M06","Glycosylhydrolase"
"Q2M3T9-1","23553","HYAL4","","Hyaluronidase-4","HGH56_M07","Glycosylhydrolase"
"P54803-1","2581","GALC","","Galactocerebrosidase","HGH59_M01","Glycosylhydrolase"
"Q13724-1","7841","MOGS","GCS1","Mannosyl-oligosaccharide glucosidase","HGH63_M01","Glycosylhydrolase"
"Q32M88-1","80162","PGGHG","ATHL1","Protein-glucosylgalactosylhydroxylysine glucosidase","HGH65_M01","Glycosylhydrolase"
"Q9Y251-1","10855","HPSE","HEP;HPA;HPA1;HPR1;HPSE1;HSE1","Heparanase","HGH79_M01","Glycosylhydrolase"
"Q8WWQ2-1","60495","HPSE2","HPA2","Inactive heparanase-2","HGH79_M02","Glycosylhydrolase"
"O60502-1","10724","OGA","MGEA5;HEXC;KIAA0679;MEA5","Protein O-GlcNAcase","HGH84_M01","Glycosylhydrolase"
"Q8NFI3-1","64772","ENGASE","","Cytosolic endo-beta-N-acetylglucosaminidase","HGH85_M01","Glycosylhydrolase"
"P54802-1","4669","NAGLU","UFHSD1","Alpha-N-acetylglucosaminidase","HGH89_M01","Glycosylhydrolase"
"Q5SRI9-1","79694","MANEA","","Glycoprotein endo-alpha-1,2-mannosidase","HGH99_M01","Glycosylhydrolase"
"Q5VSG8-1","149175","MANEAL","","Glycoprotein endo-alpha-1,2-mannosidase-like protein","HGH99_M02","Glycosylhydrolase"
"Q8IXK2-1","79695","GALNT12","","Polypeptide N-acetylgalactosaminyltransferase 12","HCBM13_M01","Carbohydrate Binding Module"
"Q9Y4K1-3","202","CRYBG1","AIM1","Beta/gamma crystallin domain-containing protein 1","HCBM13_M02","Carbohydrate Binding Module"
"Q8N1P7-1","55057","CRYBG2","AIM1L","Beta/gamma crystallin domain-containing protein 2","HCBM13_M04","Carbohydrate Binding Module"
"Q68DQ2-3","131544","CRYBG3","","Very large A-kinase anchor protein","HCBM13_M06","Carbohydrate Binding Module"
"Q9NPB8-1","56261","GPCPD1","GDE5;KIAA1434","Glycerophosphocholine phosphodiesterase GPCPD1","HCBM20_M01","Carbohydrate Binding Module"
"O95210-1","8987","STBD1","","Starch-binding domain-containing protein 1","HCBM20_M02","Carbohydrate Binding Module"
"B3EWF7-1","7957","EPM2A","","Laforin, isoform 9","HCBM20_M03","Carbohydrate Binding Module"
"Q6ZSY5-1","89801","PPP1R3F","","Protein phosphatase 1 regulatory subunit 3F","HCBM21_M01","Carbohydrate Binding Module"
"Q9UQK1-1","5507","PPP1R3C","PPP1R5","Protein phosphatase 1 regulatory subunit 3C","HCBM21_M02","Carbohydrate Binding Module"
"Q16821-1","5506","PPP1R3A","PP1G","Protein phosphatase 1 regulatory subunit 3A","HCBM21_M03","Carbohydrate Binding Module"
"Q86XI6-1","79660","PPP1R3B","PPP1R4","Protein phosphatase 1 regulatory subunit 3B","HCBM21_M04","Carbohydrate Binding Module"
"P10768-1","2098","ESD","","S-formylglutathione hydrolase","HCE01_M01","Carbohydrate Esterase"
"Q9Y303-1","51005","AMDHD2","","N-acetylglucosamine-6-phosphate deacetylase","HCE09_M01","Carbohydrate Esterase"
"P22303-1","43","ACHE","","Acetylcholinesterase","HCE10_M01","Carbohydrate Esterase"
"P22760-1","13","AADAC","DAC","Arylacetamide deacetylase","HCE10_M02","Carbohydrate Esterase"
"P06276-1","590","BCHE","CHE1","Cholinesterase","HCE10_M03","Carbohydrate Esterase"
"P19835-1","","CEL","BAL","Bile salt-activated lipase","HCE10_M04","Carbohydrate Esterase"
"P23141-1","1066","CES1","CES2;SES1","Liver carboxylesterase 1","HCE10_M05","Carbohydrate Esterase"
"Q6UWW8-1","23491","CES3","FLJ21736","Carboxylesterase 3","HCE10_M06","Carbohydrate Esterase"
"O00748-1","8824","CES2","ICE","Cocaine esterase","HCE10_M09","Carbohydrate Esterase"
"P13798-1","327","APEH","D3F15S2;D3S48E;DNF15S2","Acylamino-acid-releasing enzyme","HCE10_M12","Carbohydrate Esterase"
"P27487-1","1803","DPP4","ADCP2;CD26","Dipeptidyl peptidase 4","HCE10_M13","Carbohydrate Esterase"
"Q8NFZ3-1","22829","NLGN4Y","KIAA0951","Neuroligin-4, Y-linked","HCE10_M15","Carbohydrate Esterase"
"Q8N0W4-1","57502","NLGN4X","NLGN4;KIAA1260","Neuroligin-4, X-linked","HCE10_M16","Carbohydrate Esterase"
"Q6PIU2-1","57552","NCEH1","AADACL1;KIAA1363","Neutral cholesterol ester hydrolase 1","HCE10_M17","Carbohydrate Esterase"
"Q8N608-1","57628","DPP10","DPRP3;KIAA1492","Inactive dipeptidyl peptidase 10","HCE10_M18","Carbohydrate Esterase"
"Q8NFZ4-1","57555","NLGN2","KIAA1366","Neuroligin-2","HCE10_M19","Carbohydrate Esterase"
"Q9NZ94-1","54413","NLGN3","KIAA1480;NL3","Neuroligin-3","HCE10_M21","Carbohydrate Esterase"
"Q6NT32-1","221223","CES5A","CES7","Carboxylesterase 5A","HCE10_M22","Carbohydrate Esterase"
"Q6P988-1","147111","NOTUM","","Palmitoleoyl-protein carboxylesterase NOTUM","HCE13_M01","Carbohydrate Esterase"
"P16112-1","176","ACAN","AGC1;CSPG1;MSK16","Aggrecan core protein","HLCPG_M01","Lectin/C-type/Proteoglycan"
"Q96GW7-1","63827","BCAN","BEHAB;CSPG7","Brevican core protein","HLCPG_M02","Lectin/C-type/Proteoglycan"
"O14594-1","1463","NCAN","CSPG3;NEUR","Neurocan core protein","HLCPG_M03","Lectin/C-type/Proteoglycan"
"P13611-1","1462","VCAN","CSPG2","Versican core protein","HLCPG_M04","Lectin/C-type/Proteoglycan"
"P07306-1","432","ASGR1","CLEC4H1","Asialoglycoprotein receptor 1","HLCR_M03","Lectin/C-type/Type 2 Receptor"
"P07307-1","433","ASGR2","HBXBP;CLEC4H2","Asialoglycoprotein receptor 2","HLCR_M04","Lectin/C-type/Type 2 Receptor"
"Q6EIG7-1","93978","CLEC6A","CLECSF10;DECTIN2","C-type lectin domain family 6 member A","HLCR_M05","Lectin/C-type/Type 2 Receptor"
"Q9UMR7-1","50856","CLEC4A","CLECSF6;DCIR;LLIR","C-type lectin domain family 4 member A","HLCR_M06","Lectin/C-type/Type 2 Receptor"
"Q9NNX6-1","30835","CD209","CLEC4L","CD209 antigen","HLCR_M08","Lectin/C-type/Type 2 Receptor"
"Q9H2X3-1","10332","CLEC4M","CD209L;CD209L1;CD299","C-type lectin domain family 4 member M","HLCR_M09","Lectin/C-type/Type 2 Receptor"
"Q6UXB4-1","339390","CLEC4G","","C-type lectin domain family 4 member G","HLCR_M14","Lectin/C-type/Type 2 Receptor"
"P06734-1","2208","FCER2","CD23A;CLEC4J;FCE2;IGEBF","Low affinity immunoglobulin epsilon Fc receptor","HLCR_M17","Lectin/C-type/Type 2 Receptor"
"Q8N1N0-1","165530","CLEC4F","CLECSF13","C-type lectin domain family 4 member F","HLCR_M18","Lectin/C-type/Type 2 Receptor"
"Q9UJ71-1","50489","CD207","CLEC4K","C-type lectin domain family 4 member K","HLCR_M19","Lectin/C-type/Type 2 Receptor"
"Q9ULY5-1","26253","CLEC4E","CLECSF9;MINCLE","C-type lectin domain family 4 member E","HLCR_M20","Lectin/C-type/Type 2 Receptor"
"Q5KU26-1","81035","COLEC12","CLP1;NSR2;SCARA4;SRCL","Collectin-12","HLCR_M21","Lectin/C-type/Type 2 Receptor"
"Q8WTT0-1","170482","CLEC4C","BDCA2;CLECSF11;CLECSF7;DLEC;HECL","C-type lectin domain family 4 member C","HLCR_M23","Lectin/C-type/Type 2 Receptor"
"Q8WXI8-1","338339","CLEC4D","CLECSF8;MCL","C-type lectin domain family 4 member D","HLCR_M29","Lectin/C-type/Type 2 Receptor"
"Q8IUN9-1","10462","CLEC10A","CLECSF13;CLECSF14;HML","C-type lectin domain family 10 member A","HLCR_M30","Lectin/C-type/Type 2 Receptor"
"Q8WXI8-1","338339","CLEC4D","CLECSF8;MCL","C-type lectin domain family 4 member D","HLCR_M32","Lectin/C-type/Type 2 Receptor"
"Q6ZS10-1","388512","CLEC17A","","C-type lectin domain family 17, member A","HLCR_M33","Lectin/C-type/Type 2 Receptor"
"Q9Y6Z7-1","10584","COLEC10","CLL1","Collectin-10","HLCC_M01","Lectin/C-type/Collectin"
"P11226-1","4153","MBL2","COLEC1;MBL","Mannose-binding protein C","HLCC_M03","Lectin/C-type/Collectin"
"Q8IWL2-1","","SFTPA1","PSAP;SFTP1;SFTPA;COLEC4;SFTPA1B","Pulmonary surfactant-associated protein A1","HLCC_M04","Lectin/C-type/Collectin"
"P35247-1","6441","SFTPD","COLEC7;PSPD;SFTP4","Pulmonary surfactant-associated protein D","HLCC_M05","Lectin/C-type/Collectin"
"P11686-1","6440","SFTPC","SFTP2","Surfactant protein C","HLCC_M06","Lectin/C-type/Collectin"
"P07988-1","6439","SFTPB","SFTP3","Pulmonary surfactant-associated protein B","HLCC_M07","Lectin/C-type/Collectin"
"Q9BWP8-1","78989","COLEC11","","Collectin-11","HLCC_M08","Lectin/C-type/Collectin"
"Q8IWL1-1","729238","SFTPA2","PSAP;COLEC5;SFTP1;SFTPA;SFTPA2B","Pulmonary surfactant-associated protein A2","HLCC_M09","Lectin/C-type/Collectin"
"P16581-1","6401","SELE","ELAM1","E-selectin","HLCS_M01","Lectin/C-type/Selectin"
"P14151-1","6402","SELL","LNHR;LYAM1","L-selectin","HLCS_M02","Lectin/C-type/Selectin"
"P16109-1","6403","SELP","GMRP;GRMP","P-selectin","HLCS_M03","Lectin/C-type/Selectin"
"Q07108-1","969","CD69","CLEC2C","Early activation antigen CD69","HLCNKR_M01","Lectin/C-type/NK Receptor"
"P21854-1","971","CD72","","B-cell differentiation antigen CD72","HLCNKR_M02","Lectin/C-type/NK Receptor"
"Q13241-1","3824","KLRD1","CD94","Natural killer cells antigen CD94","HLCNKR_M03","Lectin/C-type/NK Receptor"
"Q9P126-1","51266","CLEC1B","CLEC2","C-type lectin domain family 1 member B","HLCNKR_M04","Lectin/C-type/NK Receptor"
"Q8NC01-1","51267","CLEC1A","CLEC1","C-type lectin domain family 1 member A","HLCNKR_M05","Lectin/C-type/NK Receptor"
"Q9BXN2-1","64581","CLEC7A","DKFZp686L24211;BGR;CLECSF12;DECTIN1","C-type lectin domain family 7 member A","HLCNKR_M06","Lectin/C-type/NK Receptor"
"Q12918-1","3820","KLRB1","CLEC5B;NKRP1A","Killer cell lectin-like receptor subfamily B member 1","HLCNKR_M27","Lectin/C-type/NK Receptor"
"Q96E93-1","10219","KLRG1","CLEC15A;MAFA;MAFAL","Killer cell lectin-like receptor subfamily G member 1","HLCNKR_M28","Lectin/C-type/NK Receptor"
"Q9NY25-1","23601","CLEC5A","CLECSF5;MDL1","C-type lectin domain family 5 member A","HLCNKR_M29","Lectin/C-type/NK Receptor"
"P26715-1","3821","KLRC1","NKG2A","NKG2-A/NKG2-B type II integral membrane protein","HLCNKR_M30","Lectin/C-type/NK Receptor"
"P26717-1","3822","KLRC2","NKG2C","NKG2-C type II integral membrane protein","HLCNKR_M31","Lectin/C-type/NK Receptor"
"P26718-1","22914","KLRK1","D12S2489E;NKG2D","NKG2-D type II integral membrane protein","HLCNKR_M32","Lectin/C-type/NK Receptor"
"Q07444-1","3823","KLRC3","NKG2E","NKG2-E type II integral membrane protein","HLCNKR_M33","Lectin/C-type/NK Receptor"
"Q9UHP7-1","29121","CLEC2D","CLAX;LLT1;OCIL","C-type lectin domain family 2 member D","HLCNKR_M35","Lectin/C-type/NK Receptor"
"P78380-1","4973","OLR1","CLEC8A;LOX1","Oxidized low-density lipoprotein receptor 1","HLCNKR_M36","Lectin/C-type/NK Receptor"
"P0C7M8-1","154790","CLEC2L","","C-type lectin domain family 2 member L","HLCNKR_M38","Lectin/C-type/NK Receptor"
"Q2HXU8-1","387837","CLEC12B","","C-type lectin domain family 12 member B","HLCNKR_M39","Lectin/C-type/NK Receptor"
"Q5QGZ9-2","160364","CLEC12A","CLL1;DCAL2;MICL","C-type lectin domain family 12 member A","HLCNKR_M40","Lectin/C-type/NK Receptor"
"Q6UXN8-1","283420","CLEC9A","","C-type lectin domain family 9 member A","HLCNKR_M41","Lectin/C-type/NK Receptor"
"Q9NZS2-1","51348","KLRF1","ML;CLEC5C","Killer cell lectin-like receptor subfamily F member 1","HLCNKR_M59","Lectin/C-type/NK Receptor"
"Q92478-1","9976","CLEC2B","AICL;CLECSF2;IFNRG1","C-type lectin domain family 2 member B","HLCNKR_M60","Lectin/C-type/NK Receptor"
"Q6UVW9-1","387836","CLEC2A","KACL","C-type lectin domain family 2 member A","HLCNKR_M62","Lectin/C-type/NK Receptor"
"O60449-1","4065","LY75","CD205;CLEC13B","Lymphocyte antigen 75","HLCMR_M01","Lectin/C-type/Macrophage Mannose Receptor"
"Q9UBG0-1","9902","MRC2","CLEC13E;ENDO180;KIAA0709;UPARAP","C-type mannose receptor 2","HLCMR_M02","Lectin/C-type/Macrophage Mannose Receptor"
"P22897-1","4360","MRC1","CLEC13D;CLEC13DL;MRC1L1","Macrophage mannose receptor 1","HLCMR_M03","Lectin/C-type/Macrophage Mannose Receptor"
"Q13018-1","22925","PLA2R1","CLEC13C","Secretory phospholipase A2 receptor","HLCMR_M04","Lectin/C-type/Macrophage Mannose Receptor"
"A5D8T8-1","348174","CLEC18A","MRLP2","C-type lectin domain family 18 member A","HLCMR_M05","Lectin/C-type/Macrophage Mannose Receptor"
"P05451-1","5967","REG1A","PSPS;PSPS1;REG","Lithostathine-1-alpha","HLCTLD_M02","Lectin/C-type/Free CTLDs"
"P48304-1","5968","REG1B","PSPS2;REGL","Lithostathine-1-beta","HLCTLD_M03","Lectin/C-type/Free CTLDs"
"Q9BYZ8-1","83998","REG4","GISP;RELP","Regenerating islet-derived protein 4","HLCTLD_M05","Lectin/C-type/Free CTLDs"
"Q6UW15-1","130120","REG3G","PAP1B","Regenerating islet-derived protein 3-gamma","HLCTLD_M06","Lectin/C-type/Free CTLDs"
"Q06141-1","5068","REG3A","PAP;HIP;PAP1","Regenerating islet-derived protein 3-alpha","HLCTLD_M07","Lectin/C-type/Free CTLDs"
"Q6UX15-1","143903","LAYN","","Layilin","HLCST_M01","Lectin/C-type/Type 1 Receptor"
"Q9H9P2-1","140578","CHODL","C21orf68","Chondrolectin","HLCST_M02","Lectin/C-type/Type 1 Receptor"
"O75596-1","10143","CLEC3A","CLECSF1","C-type lectin domain family 3 member A","HLCT_M01","Lectin/C-type/Tetranectin"
"Q9Y240-1","6320","CLEC11A","CLECSF3;LSLCL;SCGF","C-type lectin domain family 11 member A","HLCT_M02","Lectin/C-type/Tetranectin"
"P05452-1","7123","CLEC3B","TNA","Tetranectin","HLCT_M03","Lectin/C-type/Tetranectin"
"P98161-1","5310","PKD1","","Polycystin-1","HLCP_M01","Lectin/C-type/Polycystin"
"Q7Z442-1","114780","PKD1L2","KIAA1879;PC1L2","Polycystin-1-like protein 2","HLCP_M02","Lectin/C-type/Polycystin"
"Q13563-1","5311","PKD2","TRPP2","Polycystin-2","HLCP_M03","Lectin/C-type/Polycystin"
"O75882-1","8455","ATRN","KIAA0548;MGCA","Attractin","HLCA_M01","Lectin/C-type/Attractin"
"Q5VV63-1","26033","ATRNL1","KIAA0534","Attractin-like protein 1","HLCA_M02","Lectin/C-type/Attractin"
"P13727-1","5553","PRG2","MBP","Bone marrow proteoglycan","HLCB_M01","Lectin/C-type/Acidic Neck CTLD"
"Q9Y2Y8-1","10394","PRG3","MBPH","Proteoglycan 3","HLCB_M02","Lectin/C-type/Acidic Neck CTLD"
"Q8IX05-1","9936","CD302","CLEC13A;DCL1;KIAA0022","CD302 antigen","HLCB_M03","Lectin/C-type/Acidic Neck CTLD"
"P98153-1","9993","DGCR2","DKFZp686I1730;IDD;KIAA0163","Integral membrane protein DGCR2/IDD","HLCI_M01","Lectin/C-type/IDD"
"Q9NPY3-1","22918","CD93","C1QR1;MXRA4","Complement component C1q receptor","HLCE_M01","Lectin/C-type/Endosialin"
"Q9HCU0-1","57124","CD248","CD164L1;TEM1","Endosialin","HLCE_M02","Lectin/C-type/Endosialin"
"P07204-1","7056","THBD","THRM","Thrombomodulin","HLCE_M03","Lectin/C-type/Endosialin"
"Q86T13-1","161198","CLEC14A","C14orf27;EGFR5","C-type lectin domain family 14 member A","HLCE_M04","Lectin/C-type/Endosialin"
"Q01151-1","9308","CD83","","CD83 antigen","HLINS_M01","Lectin/I-type/Non-Siglec"
"P05362-1","3383","ICAM1","","Intercellular adhesion molecule 1","HLINS_M02","Lectin/I-type/Non-Siglec"
"P13598-1","3384","ICAM2","","Intercellular adhesion molecule 2","HLINS_M03","Lectin/I-type/Non-Siglec"
"P32004-1","3897","L1CAM","CAML1;MIC5","Neural cell adhesion molecule L1","HLINS_M04","Lectin/I-type/Non-Siglec"
"P16284-1","5175","PECAM1","","Platelet endothelial cell adhesion molecule","HLINS_M05","Lectin/I-type/Non-Siglec"
"P19320-1","7412","VCAM1","","Vascular cell adhesion protein 1","HLINS_M06","Lectin/I-type/Non-Siglec"
"P32942-1","3385","ICAM3","","Intercellular adhesion molecule 3","HLINS_M07","Lectin/I-type/Non-Siglec"
"P13591-2","4684","NCAM1","NCAM","Neural cell adhesion molecule 1","HLINS_M08","Lectin/I-type/Non-Siglec"
"O15394-1","4685","NCAM2","NCAM21","Neural cell adhesion molecule 2","HLINS_M09","Lectin/I-type/Non-Siglec"
"Q9BY67-1","23705","CADM1","IGSF4;IGSF4A;NECL2;SYNCAM;TSLC1","Cell adhesion molecule 1","HLINS_M10","Lectin/I-type/Non-Siglec"
"Q9BZZ2-1","6614","SIGLEC1","SN","Sialoadhesin","HLIS_M01","Lecitn/I-type/Siglec"
"Q96LC7-1","89790","SIGLEC10","SLG2","Sialic acid-binding Ig-like lectin 10","HLIS_M02","Lectin/I-type/CD33-Related"
